Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,annual_mileage,Cars_built,engine_capacity
40,92,2011,4,195000.0,1800.0,2,0,7750.0,11,17727.27,0,0,1
32,62,2014,11,135000.0,1500.0,0,1,8550.0,8,16875.0,2,1,1
32,71,2012,11,110000.0,1500.0,0,1,6550.0,10,11000.0,1,1,1
28,23,2006,11,200000.0,1600.0,3,1,4100.0,16,12500.0,2,1,1
23,126,2000,5,300000.0,2200.0,0,1,3490.0,22,13636.36,2,1,2
42,88,2010,11,290000.0,1390.0,4,1,5600.0,12,24166.67,0,1,1
42,117,2010,9,220000.0,2400.0,0,0,17000.0,12,18333.33,0,1,2
23,109,1991,10,240000.0,2300.0,4,1,2850.0,31,7741.94,1,1,2
2,9,2004,10,325000.0,300.0,0,1,3400.0,18,18055.56,0,1,1
23,48,2010,10,210000.0,2200.0,0,0,11400.0,12,17500.0,0,1,2
23,101,2006,2,300000.0,3200.0,0,0,11800.0,16,18750.0,0,1,2
2,12,1998,10,285000.0,3500.0,4,1,3990.0,24,11875.0,1,1,0
42,61,2007,11,238371.0,1400.0,4,0,5000.0,15,15891.4,2,1,1
42,101,2010,4,150000.0,1200.0,4,1,5500.0,12,12500.0,2,1,1
43,131,2012,3,180000.0,2400.0,0,0,15900.0,10,18000.0,0,-1,2
27,95,2011,3,251000.0,1500.0,0,1,8300.0,11,22818.18,0,0,1
14,79,2005,11,383000.0,1500.0,0,1,3200.0,17,22529.41,0,0,1
1,101,2009,4,248000.0,2000.0,0,0,9299.0,13,19076.92,0,1,2
23,48,2004,11,315000.0,1800.0,3,1,6900.0,18,17500.0,0,1,1
12,101,1992,10,68000.0,2445.0,4,1,2222.0,30,2266.67,1,2,2
32,80,2011,11,171000.0,1500.0,0,1,5700.0,11,15545.45,2,1,1
31,101,2013,4,113000.0,367.0,1,0,27000.0,9,12555.56,2,-1,1
23,48,2014,10,275500.0,2200.0,0,0,18350.0,8,34437.5,0,1,2
21,101,2017,10,157000.0,1998.0,2,0,17800.0,5,31400.0,0,3,2
20,84,2017,3,76000.0,1998.0,4,0,27999.0,5,15200.0,2,0,2
9,101,2008,4,113486.0,1998.0,3,0,4495.0,14,8106.14,1,3,2
1,0,1993,10,235000.0,2000.0,4,1,2950.0,29,8103.45,1,1,2
30,39,2012,3,253444.0,3000.0,0,0,30222.0,10,25344.4,0,1,2
20,97,2009,9,250000.0,3500.0,2,0,17990.0,13,19230.77,0,0,0
42,88,2012,10,179000.0,1400.0,3,0,9800.0,10,17900.0,0,1,1
2,101,2015,3,169777.0,2000.0,0,0,16888.0,7,24253.86,0,1,2
23,101,2017,3,71333.0,2500.0,0,0,43404.0,5,14266.6,2,1,2
28,123,1994,10,340000.0,1800.0,4,1,1500.0,28,12142.86,2,1,1
2,12,2007,10,300000.0,3000.0,0,0,11500.0,15,20000.0,0,1,2
42,118,2004,6,280000.0,200.0,0,0,5300.0,18,15555.56,2,1,1
42,88,2010,11,228000.0,1400.0,3,0,5700.0,12,19000.0,0,1,1
40,24,2010,10,185000.0,1400.0,0,1,6500.0,12,15416.67,2,0,1
27,95,2009,4,200415.0,1500.0,0,1,6200.0,13,15416.54,2,0,1
2,6,2016,6,136000.0,2000.0,0,0,13200.0,6,22666.67,0,1,2
2,9,2003,10,250000.0,3000.0,4,0,7490.0,19,13157.89,2,1,2
6,76,2014,10,195000.0,1200.0,3,1,3999.0,8,24375.0,0,1,1
6,47,2015,9,170000.0,1500.0,0,1,8800.0,7,24285.71,0,1,1
42,61,2010,11,191500.0,1400.0,4,1,5700.0,12,15958.33,2,1,1
42,88,1991,10,292000.0,1800.0,4,1,1150.0,31,9419.35,1,1,1
2,6,2004,10,250000.0,2000.0,0,1,4499.0,18,13888.89,2,1,2
27,95,2015,3,158000.0,1500.0,0,1,11750.0,7,22571.43,0,0,1
29,101,2018,3,132000.0,1500.0,0,0,16500.0,4,33000.0,0,1,1
2,129,2005,9,260500.0,3000.0,4,0,8999.0,17,15323.53,2,1,2
32,80,2005,11,11111.0,1500.0,0,1,3200.0,17,653.59,1,1,1
27,95,2013,9,180000.0,1500.0,0,1,8999.0,9,20000.0,0,0,1
11,119,2012,6,151658.0,1800.0,0,1,3899.0,10,15165.8,2,3,1
32,108,2015,5,185480.0,1461.0,0,1,7550.0,7,26497.14,0,1,1
2,12,2009,10,215210.0,3000.0,0,0,16500.0,13,16554.62,2,1,2
42,90,2007,4,305988.0,1400.0,0,1,3250.0,15,20399.2,0,1,1
2,9,2014,10,231250.0,2000.0,0,0,18000.0,8,28906.25,0,1,2
41,4,2004,6,12000.0,1700.0,4,1,1800.0,18,666.67,1,2,1
2,9,1998,10,11111.0,2500.0,4,1,3200.0,24,462.96,1,1,2
27,101,2014,4,87100.0,1200.0,4,1,7950.0,8,10887.5,1,0,1
40,26,2000,10,420000.0,1600.0,3,1,2999.0,22,19090.91,0,0,1
13,35,2002,11,275100.0,2000.0,4,1,5900.0,20,13755.0,2,0,2
2,9,2015,10,180236.0,2000.0,0,0,21500.0,7,25748.0,0,1,2
13,35,2010,3,183000.0,2200.0,0,1,12999.0,12,15250.0,2,0,2
27,101,2011,4,195000.0,1500.0,0,1,5250.0,11,17727.27,0,0,1
42,88,1993,11,311254.0,2000.0,3,1,29000.0,29,10732.9,1,1,2
28,23,2010,4,190000.0,1300.0,0,1,6500.0,12,15833.33,2,1,1
35,100,2016,11,116000.0,1598.0,4,0,10300.0,6,19333.33,0,1,1
42,110,2006,6,250000.0,2000.0,0,1,6900.0,16,15625.0,2,1,2
27,95,2015,3,149000.0,1200.0,4,0,12500.0,7,21285.71,0,0,1
35,114,2016,10,170000.0,2000.0,0,0,17490.0,6,28333.33,0,1,2
40,73,2001,9,250000.0,4700.0,3,0,9990.0,21,11904.76,2,0,0
40,44,2006,11,256000.0,1400.0,0,1,5490.0,16,16000.0,2,0,1
22,101,2002,9,255000.0,2000.0,4,1,3990.0,20,12750.0,2,0,2
3,101,2011,4,190000.0,1400.0,5,0,9150.0,11,17272.73,0,3,1
23,101,2019,3,24000.0,3000.0,4,0,51000.0,3,8000.0,1,1,2
