datetime;entsoe
2015-01-01T01:00:00Z;1794.9600
2015-01-01T02:00:00Z;1744.7600
2015-01-01T03:00:00Z;1743.1700
2015-01-01T04:00:00Z;1751.4700
2015-01-01T05:00:00Z;1767.1600
2015-01-01T06:00:00Z;1903.3000
2015-01-01T07:00:00Z;1985.3200
2015-01-01T08:00:00Z;2015.1500
2015-01-01T09:00:00Z;2101.7600
2015-01-01T10:00:00Z;2194.3200
2015-01-01T11:00:00Z;2254.7800
2015-01-01T12:00:00Z;2262.8400
2015-01-01T13:00:00Z;2233.2200
2015-01-01T14:00:00Z;2303.5600
2015-01-01T15:00:00Z;2485.5600
2015-01-01T16:00:00Z;2633.1100
2015-01-01T17:00:00Z;2627.4200
2015-01-01T18:00:00Z;2509.8400
2015-01-01T19:00:00Z;2361.3900
2015-01-01T20:00:00Z;2263.1400
2015-01-01T21:00:00Z;2109.7100
2015-01-01T22:00:00Z;1975.9200
2015-01-01T23:00:00Z;1851.5800
2015-01-02T00:00:00Z;1710.8100
2015-01-02T01:00:00Z;1682.9200
2015-01-02T02:00:00Z;1682.4200
2015-01-02T03:00:00Z;1700.7600
2015-01-02T04:00:00Z;1773.8100
2015-01-02T05:00:00Z;2071.3500
2015-01-02T06:00:00Z;2293.7800
2015-01-02T07:00:00Z;2504.2300
2015-01-02T08:00:00Z;2568.5500
2015-01-02T09:00:00Z;2674.3800
2015-01-02T10:00:00Z;2673.0100
2015-01-02T11:00:00Z;2643.3000
2015-01-02T12:00:00Z;2626.1300
2015-01-02T13:00:00Z;2608.4800
2015-01-02T14:00:00Z;2623.9800
2015-01-02T15:00:00Z;2805.1800
2015-01-02T16:00:00Z;3081.3800
2015-01-02T17:00:00Z;3019.5000
2015-01-02T18:00:00Z;2803.7800
2015-01-02T19:00:00Z;2542.6700
2015-01-02T20:00:00Z;2444.2300
2015-01-02T21:00:00Z;2251.2200
2015-01-02T22:00:00Z;2012.5300
2015-01-02T23:00:00Z;1966.1900
2015-01-03T00:00:00Z;1924.9700
2015-01-03T01:00:00Z;1816.1800
2015-01-03T02:00:00Z;1753.9900
2015-01-03T03:00:00Z;1736.0900
2015-01-03T04:00:00Z;1777.6700
2015-01-03T05:00:00Z;1930.8300
2015-01-03T06:00:00Z;2138.1200
2015-01-03T07:00:00Z;2293.3600
2015-01-03T08:00:00Z;2401.4400
2015-01-03T09:00:00Z;2455.5000
2015-01-03T10:00:00Z;2404.9700
2015-01-03T11:00:00Z;2347.8200
2015-01-03T12:00:00Z;2332.0700
2015-01-03T13:00:00Z;2278.4200
2015-01-03T14:00:00Z;2243.2800
2015-01-03T15:00:00Z;2468.1000
2015-01-03T16:00:00Z;2778.2500
2015-01-03T17:00:00Z;2729.9700
2015-01-03T18:00:00Z;2463.6500
2015-01-03T19:00:00Z;2318.0400
2015-01-03T20:00:00Z;2161.0700
2015-01-03T21:00:00Z;2054.0500
2015-01-03T22:00:00Z;1950.1700
2015-01-03T23:00:00Z;1791.0300
2015-01-04T00:00:00Z;1727.4900
2015-01-04T01:00:00Z;1674.6700
2015-01-04T02:00:00Z;1661.3200
2015-01-04T03:00:00Z;1674.2000
2015-01-04T04:00:00Z;1680.2800
2015-01-04T05:00:00Z;1834.1700
2015-01-04T06:00:00Z;1962.4200
2015-01-04T07:00:00Z;2130.1100
2015-01-04T08:00:00Z;2277.4300
2015-01-04T09:00:00Z;2350.3600
2015-01-04T10:00:00Z;2383.3800
2015-01-04T11:00:00Z;2321.5700
2015-01-04T12:00:00Z;2257.8400
2015-01-04T13:00:00Z;2227.2200
2015-01-04T14:00:00Z;2242.4500
2015-01-04T15:00:00Z;2529.5900
2015-01-04T16:00:00Z;2862.3000
2015-01-04T17:00:00Z;2769.2400
2015-01-04T18:00:00Z;2541.7400
2015-01-04T19:00:00Z;2347.3900
2015-01-04T20:00:00Z;2212.7800
2015-01-04T21:00:00Z;1996.5400
2015-01-04T22:00:00Z;1960.5000
2015-01-04T23:00:00Z;1910.5900
2015-01-05T00:00:00Z;1832.3800
2015-01-05T01:00:00Z;1743.9500
2015-01-05T02:00:00Z;1703.8000
2015-01-05T03:00:00Z;1744.6700
2015-01-05T04:00:00Z;1950.5900
2015-01-05T05:00:00Z;2419.2400
2015-01-05T06:00:00Z;2921.6800
2015-01-05T07:00:00Z;3071.2700
2015-01-05T08:00:00Z;3077.4700
2015-01-05T09:00:00Z;3117.4600
2015-01-05T10:00:00Z;3098.9200
2015-01-05T11:00:00Z;3025.6400
2015-01-05T12:00:00Z;3053.7700
2015-01-05T13:00:00Z;3028.0900
2015-01-05T14:00:00Z;2957.5900
2015-01-05T15:00:00Z;3069.2400
2015-01-05T16:00:00Z;3291.2500
2015-01-05T17:00:00Z;3099.1500
2015-01-05T18:00:00Z;2883.7300
2015-01-05T19:00:00Z;2672.4700
2015-01-05T20:00:00Z;2464.4400
2015-01-05T21:00:00Z;2251.8900
2015-01-05T22:00:00Z;2049.5500
2015-01-05T23:00:00Z;1914.3000
2015-01-06T00:00:00Z;1856.7200
2015-01-06T01:00:00Z;1843.6900
2015-01-06T02:00:00Z;1832.0400
2015-01-06T03:00:00Z;1885.6700
2015-01-06T04:00:00Z;2043.3100
2015-01-06T05:00:00Z;2479.9000
2015-01-06T06:00:00Z;2947.9000
2015-01-06T07:00:00Z;3135.8100
2015-01-06T08:00:00Z;3093.6100
2015-01-06T09:00:00Z;3138.2200
2015-01-06T10:00:00Z;3142.9700
2015-01-06T11:00:00Z;3103.9000
2015-01-06T12:00:00Z;3106.1300
2015-01-06T13:00:00Z;3049.0600
2015-01-06T14:00:00Z;2973.4600
2015-01-06T15:00:00Z;3076.9200
2015-01-06T16:00:00Z;3300.1700
2015-01-06T17:00:00Z;3097.9600
2015-01-06T18:00:00Z;2893.6000
2015-01-06T19:00:00Z;2697.4600
2015-01-06T20:00:00Z;2534.1100
2015-01-06T21:00:00Z;2325.3900
2015-01-06T22:00:00Z;2130.5100
2015-01-06T23:00:00Z;1994.1800
2015-01-07T00:00:00Z;1948.3700
2015-01-07T01:00:00Z;1894.9000
2015-01-07T02:00:00Z;1864.0100
2015-01-07T03:00:00Z;1912.7800
